"avgvelocity_x","avgvelocity_y","avgvelocity_z","gesture"
"5.331391","4.592921","1.3194374","c"
"-1.9164648","3.219043","3.3335965","c"
"-2.195935","3.376047","3.6431437","c"
"-0.034712005","10.830981","5.866718","c"
"1.4722611","9.334672","2.6140373","c"
"-0.33306596","1.3317826","0.6967056","c"
"-1.3789321","3.4831848","1.9419432","c"
"-4.849661","-1.3677906","2.2622836","c"
"-0.8320827","-2.1159155","-2.8989475","c"
"11.472402","5.340895","-6.0534606","c"
"10.116523","3.9221287","-0.12303821","c"
"9.194904","-4.856682","-5.9648557","c"
"11.776916","-6.8699365","-9.081714","c"
"19.94256","-9.193692","-16.323248","c"
"31.183447","36.34105","-43.59116","c"
"61.392548","73.07229","-40.51552","c"
"75.602936","48.104538","10.213232","c"
"97.45768","8.562955","42.87717","c"
"177.18294","8.424225","80.69312","c"
"109.86733","63.261597","3.8622043","c"
"-49.36243","88.46939","-69.62432","c"
"-147.2112","84.10472","-104.95121","c"
"-206.56917","43.98788","-66.32026","c"
"-224.0409","9.805682","-30.637766","c"
"-196.14508","0.47244677","-21.943031","c"
"-202.88564","9.477941","27.792967","c"
"-232.05035","24.644045","48.525482","c"
"-103.39152","-28.820993","79.77766","c"
"131.972","-18.820148","30.052467","c"
"232.02997","-43.108017","115.816185","c"
"274.44778","-22.335497","23.46406","c"
"285.30194","18.185255","-126.09583","c"
"141.35924","12.922214","-142.58125","c"
"-81.544655","16.58844","-82.1495","c"
"-239.23665","18.817999","-119.223045","c"
"-286.98984","28.087519","-91.64057","c"
"-316.34457","31.099617","-51.851276","c"
"-95.72933","23.997322","-34.17585","c"
"58.489513","0.5001227","-8.703667","c"
"90.40225","-5.8086643","-11.402104","c"
"103.31253","-5.4562783","-12.347481","c"
"121.88407","7.279438","1.3099486","c"
"167.58907","4.7476125","19.9768","c"
"175.06067","-27.18809","48.609085","c"
"190.25232","-75.94902","129.71887","c"
"57.813538","-70.21822","123.72195","c"
"-90.60474","-81.03864","133.90977","c"
"-211.20876","-31.176542","73.82878","c"
"-252.2196","23.134995","-15.815791","c"
"-297.69324","-12.341278","-72.65211","c"
"-107.56823","37.17931","-134.32121","c"
"119.20904","62.97613","-62.25764","c"
"170.12575","14.61407","68.77201","c"
"115.89683","-61.10565","105.96639","c"
"68.04164","-79.69817","103.42864","c"
"-19.323057","-60.623764","48.74289","c"
"-89.20523","-35.95097","-8.222943","c"
"-141.64131","6.9924774","-40.42467","c"
"-134.50203","15.554897","-47.370594","c"
"-0.6328061","30.013206","-11.740867","c"
"88.3587","7.0927243","-11.136871","c"
"105.881165","-15.002904","8.582332","c"
"32.488895","-8.675222","-3.489096","c"
"-3.1277645","-6.5909066","-4.79858","c"
"4.655734","-7.380053","-7.651314","c"
"0.69455296","0.63225716","-0.68745613","e"
"-3.1722682","1.4855318","1.6586165","e"
"0.9411573","9.971826","4.0616593","f"
"83.69267","2.339721","2.7476742","f"
