"avgvelocity_x","avgvelocity_y","avgvelocity_z","gesture"
"-2.5904727","-0.5998895","1.7905961","i"
"37.897","86.57162","32.683514","j"
"36.998974","97.53923","55.46373","j"
"43.668575","90.07708","53.40049","j"
"72.96414","88.947426","28.164955","j"
"41.67103","108.7439","58.944702","j"
"50.056194","73.7483","32.475452","j"
"43.232315","75.02132","41.435555","j"
"17.443491","73.96843","49.157627","j"
"69.411285","110.42526","69.96078","j"
"38.14515","117.79358","72.5131","j"
"35.82249","90.957695","41.422447","j"
"42.156162","88.51824","44.102177","j"
"82.20592","91.34624","34.731094","j"
"52.85565","80.25826","39.71968","j"
"72.19566","60.38804","32.06873","j"
"59.355186","66.40769","37.41559","j"
"58.572365","51.102154","16.430008","j"
"59.26006","26.191982","29.236782","j"
"35.747986","77.12038","46.453926","j"
"70.100075","67.12114","66.61717","j"
"106.752594","63.869495","13.539862","j"
"60.385963","66.27833","38.17136","j"
"57.713696","14.542898","32.851505","j"
"88.03798","44.81419","27.95434","j"
"108.69375","42.13381","28.612349","j"
"-1.5679015","-3.4289665","-2.4316013","k"
"1.0741076","2.3457994","1.0148089","k"
"1.9983163","-1.5177989","-1.8788234","k"
"-1.0187007","-0.111856945","0.4476646","k"
"0.64534026","-0.5567024","-0.23231462","k"
"-2.0933828","0.50941557","4.0669866","k"
"2.9691226","2.2734435","3.2072995","k"
"3.834587","4.744629","0.69929445","k"
"4.9985642","5.1621075","-1.0720259","k"
"-0.5540848","0.68707776","5.920183","k"
"6.484717","7.7720256","0.68962395","k"
"-4.949758","0.12169524","2.567148","k"
"2.5642648","2.1332986","0.15300563","k"
"-4.087789","-1.8141062","2.2150152","k"
"0.5559757","3.2018557","3.8126547","k"
"0.642814","5.1056266","5.0054555","k"
"6.1599445","2.899993","2.2866488","k"
"-2.7269702","-2.8349764","1.4663551","k"
"-3.9226344","-1.1678636","11.389968","k"
"0.65577793","2.5647452","1.6715508","k"
"1.3080171","1.6869341","-0.48426282","k"
"3.1024237","-4.2632504","-6.4920077","k"
"3.3948088","3.3897018","0.16738139","k"
"-3.0989826","-1.2432593","1.6806394","k"
"2.0062306","0.8064731","1.7534618","k"
"-1.0388851","0.06234185","0.9064458","l"
"3.4313574","7.7482557","2.363281","l"
"2.9788451","0.6534015","2.5210996","l"
"4.5054936","1.7832547","1.1926919","l"
"-2.2963548","-2.086333","1.2992253","l"
"4.4407244","7.169321","6.281161","l"
"2.1634064","0.50133336","-0.64669305","l"
"-3.7845495","-2.3090062","1.2754294","l"
"7.869857","2.9808688","2.0405602","l"
"3.2960403","3.2928507","1.5123564","l"
"-0.060712524","1.0792167","3.2032664","l"
"-5.8184","-0.3039014","3.5372005","l"
"3.2941976","1.9480346","7.674426","l"
"1.2970612","2.0944912","1.1777806","l"
"0.31702226","-2.101323","4.0095243","l"
